"Samp_ID","PAR_above","PAR_in","pH","Cond","Temp","Year","PAR","TN_mean","TP_mean","mu","phyB","Prod","All_gz","All_gzp","mzp_gzp","All_Omni","All_Omni_prop","mzpDen","Dilu_R2","mu_pval","mzp_gzr","mzp_gz_pval","phySR","zpSR","zpD"
"Lake_12",250,110,8.7,270.1,23.9,2017,0.44,36.6606099110813,14.6479592682799,0.599860858273497,10147524.0666667,20843929.845335,9023112.545335,0.43288922061664,0.219170171421997,-5.5803576325,0.27540620262391,4.375357138,0.85329581491023,1.14128738354084e-10,0.450195303533859,1.47993877298076e-06,25,13,10.1356131493783
"Lake_13",210,90,8.57,596,21.4,2017,0.428571428571429,41.5743112647466,24.2486483055443,0.793188310702791,24990315.1333333,64735797.1826142,26657285.9326142,0.411785860262387,0.250156761723733,-4.6852624715,0.24081854100158,3.775944924,0.699557633043026,5.10931135729447e-08,0.648014933161313,0.000117642175997714,26,11,21.0836372316923
"Lake_14",1850,700,8.35,763,22.5,2017,0.378378378378378,31.3498242537725,21.7623160164066,0.301185224459013,14509073.0666667,20825880.1616819,4251711.86168189,0.204155206342958,0.218547384396138,-7.78777424133333,0.219211995772999,6.38754725866667,0.685728090296309,1.00936274254777e-06,0.313696237945037,0.00015524156811029,36,19,10.6894826079164
"Lake_15",950,440,8.73,679,24.7,2017,0.463157894736842,30.8531604606219,21.3930587457426,0.378479198796096,88255538.4333333,138991320.794081,12445533.044081,0.0895417999697937,0.113582431378241,-11.091712692,0.369076306231988,8.101602987,0.668670307362311,2.16020563499013e-10,0.178877976799043,0.000215142273528789,24,10,8.50577443553051
"Lake_16",1520,1000,8.25,382.2,25.2,2017,0.657894736842105,47.9511096350012,14.8448964793007,0.0909436313181798,35904861.5666667,40045049.7285644,5072930.52856436,0.126680590059196,0.0671980691862379,-3.89021647883333,0.0992933828187868,3.53883370866667,0.715346464650403,3.7263621053097e-08,0.0749466758764676,8.43966241795101e-05,27,16,19.7020147053101
"Lake_17",140,60,8.74,432,25.2,2017,0.428571428571429,71.7772655644433,26.9319178057029,0.398443974521368,91085607.3,146926516.389319,47872061.2893194,0.325823156131124,0.125919203504034,-15.8112896733333,0.0625640002305632,14.8803174866667,0.765135227813342,3.45267323419161e-11,0.203115184338959,2.59692513510217e-05,44,15,62.542919112683
"Lake_18",210,40,8.72,454.7,25.1,2017,0.19047619047619,167.972710099215,40.0282423385867,0.259600817044294,3211789758.66667,4385700312.39909,553956905.899087,0.126309794659923,0.158920170924557,-125.00114526,0.266337707569189,98.71075031,0.750284118198804,1.64799398250811e-08,0.217005562518416,3.77931803222013e-05,28,11,105.05636922516
"Lake_19",170,15,9.5,331.1,24.4,2017,0.0882352941176471,211.804463229065,73.7537397259003,0.257638646995047,207790400.633333,283070577.998889,50468212.4488888,0.178288442428965,0.098799253100139,-73.5,0.204918032786885,61,0.447857978335001,2.87970151800383e-07,0.134593136139458,0.00738332452395458,43,14,68.4189769621242
"Lake_20",1090,630,9.63,313.4,25.7,2017,0.577981651376147,39.8893094309838,24.7409913330963,0.795864838230646,31498113.3333333,81856315.1280643,32652582.9780643,0.398901207890671,0.159679424041968,-8.42829117133333,0.462856780854666,5.76152859366667,0.403374789408998,2.17907606796463e-07,0.414969909960125,0.00871168215674118,29,10,12.4281952603333
"Lake_21",500,180,9.06,532,25.4,2017,0.36,366.441496540637,23.7070709752371,1.80315059354666,1708180273,14867971689.4321,13188551688.4321,0.887044444522739,0.265511243191657,-74.4623128933333,0.369417486172849,54.3751731266667,0.862040567071621,3.52939015147511e-08,2.31100528989629,1.01952216322927e-06,17,24,88.4345790672607
"Lake_22",510,330,9.07,351.1,26.4,2017,0.647058823529412,42.6492069546563,20.8514814154354,0.695555104670264,31430793.5666667,72417952.0245533,30821067.0245533,0.42559981555545,0.31552162010279,-7.41106936616667,0.338011547542292,5.53886801633333,0.72743549888977,3.68972252802945e-07,0.72697590338749,6.46470144351548e-05,40,15,37.9750308872788
"Lake_23",1060,260,9.81,298.6,27.1,2017,0.245283018867925,139.728183283056,65.4085254088935,0.198547633410317,728641509.466667,924671939.483295,182727084.733295,0.197612879693746,0.107729198798652,-53.9613528366667,0.322360221690897,40.8068482033333,0.772925019427473,8.94990337818167e-10,0.136712177247553,2.1130845023761e-05,41,11,44.1826443816773
"Lake_24",1050,90,8.43,432.4,23.1,2018,0.0857142857142857,45.47430872,2.063682224,1.9350443614741,62549420.6666667,637790722.717455,84401885.2174551,0.132334764698115,0.000207847868747237,-7.241832003,0.198433906340603,6.042746258,-0.0832909359496377,2.22533481479372e-13,0.00211933925223751,0.983066239320344,66,14,30.058994036624
"Lake_25",540,320,10.11,573,24.7,2017,0.592592592592593,28.4537342383526,29.8121245168822,0.783642373053208,14523399.6333333,37193423.7293518,13434421.4793518,0.361204216560193,0.234647076228074,-11.1455876345,0.312481956039437,8.491993039,0.696636116726624,2.71252423865396e-08,0.600914961602638,0.000124866717715395,24,18,10.501806845547
"Lake_26",1420,880,8.19,649,25.5,2017,0.619718309859155,26.5380096273246,22.2546590439586,0.3934669472522,12876149.5666667,20646319.3951534,5880342.14515338,0.284813095865104,0.134331215606841,-29.2900761646667,0.541276794919749,19.0037741833333,0.71915728316114,3.12713898838669e-10,0.215393986206704,7.7687641040297e-05,23,15,33.1845651437853
"Lake_27",1050,30,8.53,484,23.9,2018,0.0285714285714286,134.242898,2.05341547,0.368261449454882,4969835385.66667,7731481168.99807,2552758802.99807,0.330177199840336,0.261803030633526,-18.1389105216667,0.203136799037277,15.0763492033333,0.749878940100827,3.68622066646479e-07,0.407282142013686,3.81703005526166e-05,43,10,117.166941537828
"Lake_28",1050,150,8.39,432.4,25,2018,0.142857142857143,15.27947339,0.383389024,0.368372477732156,70012252.9,108931281.824345,3993940.67434548,0.036664772574565,0.19728522882049,-14.5163207921667,0.345434567145712,10.7893175533333,0.683867940744278,9.43606924416989e-08,0.306953882645666,0.000160996769145446,42,7,86.0802141994661
"Lake_29",1580,400,8.33,467.9,24.5,2018,0.253164556962025,51.15016385,0.695976184,0.135862379576318,1007203250,1185556501.65797,164481117.657967,0.138737476811898,0.087412741911155,-64.2856632183333,0.268504296515913,50.6783172866667,0.838909592283686,2.39568552652092e-10,0.102891590650169,2.61116731242893e-06,37,16,62.3833864110906
"Lake_30",180,60,8.73,320.4,22.6,2018,0.333333333333333,29.92817723,0.367633753,0.410705392641281,225567796.4,369247530.737061,32622047.2870606,0.0883473674744507,0.09781412422431,-16.4352784838333,0.560451537502735,10.5323863566667,0.415754559828119,6.56189981257628e-09,0.160118706736786,0.00760840990536432,56,16,29.0952606081637
"Lake_31",300,100,8.44,435.8,28.22,2018,0.333333333333333,76.72328243,0.740788308,0.813848156870511,43981293.9666667,116790554.094509,66981777.3445093,0.573520503124819,0.296066758943045,-10.8291932731667,0.488441918755875,7.27552290533333,0.697852197237424,3.36045572005336e-07,0.786193349657475,0.000121815346031027,20,17,33.1048019853864
"Lake_33",1450,100,8.63,396,22.7,2018,0.0689655172413793,36.33047042,0.454868881,0.132188847027644,1739958587,2039057984.2943,344834064.294298,0.16911439838904,0.132729392410091,-34.4162827798333,0.545266059144648,22.2720757866667,0.805308134987985,2.84778776238248e-06,0.15554561434187,4.63087447365513e-05,44,12,111.260552099087
"Lake_34",1600,550,8.36,516,30.3,2018,0.34375,115.0153141,0.331215831,0.349936477881032,139694590.366667,212593590.173916,46703615.3239157,0.21968496456412,0.152667819429439,-41.7028210083333,0.501242243900335,27.7788752466667,0.590092069977102,6.61459306520622e-08,0.232336841042573,0.000806717777967625,49,10,43.8116621319126
"Lake_35",1300,750,8.6,475,23.7,2018,0.576923076923077,28.59667159,0.195552616,0.18644245391826,40118152,50177155.0744623,8432116.87446229,0.16804693016073,0.108193445760834,-19.6384584298333,0.485424744191633,13.2207696866667,0.635627806037855,6.43352205621018e-08,0.13532127068021,0.000387603583967324,41,9,29.5393709494156
"Lake_37",1500,910,8.55,481,23.2,2018,0.606666666666667,38.87282515,0.13850433,0.612093608830472,26522406.7666667,55285034.3150214,18390111.3650214,0.332641764500537,0.0764582326042188,-8.34196449683333,0.331863042656367,6.26338011466667,0.311581493281956,6.25465147161077e-10,0.159374526240304,0.022232162759782,40,18,19.3517842478469
"Lake_38",300,50,8.64,365.4,24.9,2018,0.166666666666667,38.16066597,0.470527296,0.322195044062448,205860661.666667,303030540.187054,93455267.687054,0.308402142006433,0.191105981621745,-63.26480051,0.121246384672391,56.42363835,0.808023849023717,4.1488106508322e-09,0.281311389825343,7.58758968254532e-06,40,11,126.688404134114
"Lake_39",510,100,8.89,432.8,24.2,2018,0.196078431372549,76.79431986,0.572645989,0.639412679445476,826152414,1779476488.44856,881360980.898557,0.495292287714897,0.343384331840733,-149.546751863333,0.710930667677312,87.4066697666667,0.588577282098624,2.27136381755191e-05,0.739626653214865,0.000825518262127753,43,13,128.449753666893
"Lake_40",1600,500,7.92,520,23.4,2018,0.3125,44.49156475,0.453738892,0.413121805399141,32880981.0666667,53981455.6672998,18353772.7672998,0.340001441984416,0.144597304834309,-7.41180296533333,0.0706042516102202,6.92300908966667,0.43815220881207,3.10681590577544e-07,0.237388689367218,0.00591699326020013,40,10,24.9870334799106
