"Samp_ID","PAR_above","PAR_in","pH","Cond","Temp","Year","PAR","TN_mean","TP_mean","mu","phyB","Prod","All_gz","All_gzp","mzp_gzp","All_Omni","All_Omni_prop","mzpDen","Dilu_R2","mu_pval","mzp_gzr","mzp_gz_pval","phySR","zpSR","zpD","Gz","Gzp","mzpGzp","Omni","Omnip","TN","TP"
"Lake_12",250,110,0.139229267091719,-0.888772980756784,-0.269715008606391,2017,0.406667474580469,36.6606099110813,14.6479592682799,0.402556402688932,-1.16514187605636,-1.16182614131912,9023112.545335,0.43288922061664,0.219170171421997,-5.5803576325,0.27540620262391,4.375357138,0.85329581491023,1.14128738354084e-10,0.450195303533859,1.47993877298076e-06,-0.696750353587609,-0.1245586377302,-1.23880976515439,-0.828019841927386,0.778108409209606,0.356645951387066,-0.685980317843634,-0.309471820722158,-0.480778179884163,0.430287435656774
"Lake_13",210,90,-0.148643150609738,1.10695861308282,-1.63976650487442,2017,0.370668152771474,41.5743112647466,24.2486483055443,0.787970637629269,-0.642348028459803,-0.496446209977485,26657285.9326142,0.411785860262387,0.250156761723733,-4.6852624715,0.24081854100158,3.775944924,0.699557633043026,5.10931135729447e-08,0.648014933161313,0.000117642175997714,-0.579146910138074,-0.745890947468129,-0.410603921463658,-0.219294702531658,0.701140314397965,0.46654281044499,-0.710891221461144,-0.519053694644063,-0.291673275507588,0.686134467189932
"Lake_14",1850,700,-0.645907856374956,1.72984237163938,-1.01822136431122,2017,0.200279392503572,31.3498242537725,21.7623160164066,-0.5479624174778,-0.957740769224157,-1.16233479415575,4251711.86168189,0.204155206342958,0.218547384396138,-7.78777424133333,0.219211995772999,6.38754725866667,0.685728090296309,1.00936274254777e-06,0.313696237945037,0.00015524156811029,0.396633278181205,1.28689540513805,-1.17864836940642,-1.25085499914751,-0.37937816839842,0.354281117648929,-0.62454691413167,-0.649977267547897,-0.716061397102595,0.631224729493884
"Lake_15",950,440,0.2050503667853,1.43572850151218,0.138554121101694,2017,0.476831329828612,30.8531604606219,21.3930587457426,-0.232808364306354,0.0895552591828965,-0.0478124403774454,12445533.044081,0.0895417999697937,0.113582431378241,-11.091712692,0.369076306231988,8.101602987,0.668670307362311,2.16020563499013e-10,0.178877976799043,0.000215142273528789,-0.819155244730143,-1.10038269353207,-1.43704084623519,-0.64731822038623,-1.64863011978298,-0.189616478259736,-0.532596811071351,0.258116588665,-0.740070899287247,0.622538465289438
"Lake_16",1520,1000,-0.876284264607087,-0.0133883672160906,0.38706052736406,2017,0.95693100567329,47.9511096350012,14.8448964793007,-2.20003549047842,-0.432139431048391,-0.778456098684054,5072930.52856436,0.126680590059196,0.0671980691862379,-3.89021647883333,0.0992933828187868,3.53883370866667,0.715346464650403,3.7263621053097e-08,0.0749466758764676,8.43966241795101e-05,-0.465982406719903,0.647724460706539,-0.487241762470431,-1.15161962629458,-1.11429712567533,-0.625819165900921,-0.733017711423038,-1.37661695471406,-0.0771299266983297,0.437066124269128
"Lake_17",140,60,0.226940478597276,0.295463492122224,0.38706052736406,2017,0.370668152771474,71.7772655644433,26.9319178057029,-0.161888001920417,0.107864239264253,-0.0152136640499855,47872061.2893194,0.325823156131124,0.125919203504034,-15.8112896733333,0.0625640002305632,14.8803174866667,0.765135227813342,3.45267323419161e-11,0.203115184338959,2.59692513510217e-05,0.998345049548811,0.40768322803431,0.818919282759904,0.109698990016707,0.340544939149717,-0.103926045584396,-0.401248846720761,-1.59917645916649,0.529345642718929,0.739404855610462
"Lake_18",210,40,0.183135166014459,0.424601348215725,0.337756070144036,2017,-0.738599461764082,167.972710099215,40.0282423385867,-0.752946537904455,2.17453126463321,1.97882260764217,553956905.899087,0.126309794659923,0.158920170924557,-125.00114526,0.266337707569189,98.71075031,0.750284118198804,1.64799398250811e-08,0.217005562518416,3.77931803222013e-05,-0.35693390043887,-0.745890947468129,1.40537394985322,1.48561869055585,-1.1188114114616,0.0895093599353151,2.63755427393346,-0.364421825957348,1.8076403375978,0.940542295749495
"Lake_19",170,15,1.82128110524939,-0.37530021803786,-0.0129759273277512,2017,-1.79122245499264,211.804463229065,73.7537397259003,-0.76341387078235,0.586266114606184,0.369812937913708,50468212.4488888,0.178288442428965,0.098799253100139,-73.5,0.204918032786885,61,0.447857978335001,2.87970151800383e-07,0.134593136139458,0.00738332452395458,0.92941089998595,0.151074715390789,0.920457108766042,0.139375493888442,-0.588017707754266,-0.305496443657497,1.20425408233155,-0.736590684237098,2.15623617160262,1.25074355937337
"Lake_20",1090,630,2.08116292859759,-0.51383827266104,0.630684368710563,2017,0.779784708210437,39.8893094309838,24.7409913330963,0.792618172584616,-0.508096840704681,-0.358672605914572,32652582.9780643,0.398901207890671,0.159679424041968,-8.42829117133333,0.462856780854666,5.76152859366667,0.403374789408998,2.17907606796463e-07,0.414969909960125,0.00871168215674118,-0.251712457145226,-1.10038269353207,-1.00823660228928,-0.10530049195913,0.652183353571805,0.0934702876342102,-0.606721037952441,0.826373784636208,-0.353877698338358,0.696336963399383
"Lake_21",500,180,0.914511566959982,0.82050977477687,0.485085185302117,2017,0.132170977580892,366.441496540637,23.7070709752371,1.92095474452073,1.80827470404388,2.69564117932004,13188551688.4321,0.887044444522739,0.265511243191657,-74.4623128933333,0.369417486172849,54.3751731266667,0.862040567071621,3.52939015147511e-08,2.31100528989629,1.01952216322927e-06,-1.85316063035955,2.15579038227292,1.2106210449648,3.26695089643279,1.8829443794466,0.516047699951491,1.23103568587517,0.26018394817982,2.98039739280138,0.674669658695002
"Lake_22",510,330,0.935604796434321,-0.227405634425908,0.963911263742684,2017,0.934213361453738,42.6492069546563,20.8514814154354,0.606757184193294,-0.509337931672334,-0.430604132460922,30821067.0245533,0.42559981555545,0.31552162010279,-7.41106936616667,0.338011547542292,5.53886801633333,0.72743549888977,3.68972252802945e-07,0.72697590338749,6.46470144351548e-05,0.712557147197907,0.40768322803431,0.254762773191304,-0.137738267009535,0.751955127889114,0.659461214842361,-0.635030781374388,0.0698815350725101,-0.25329555529171,0.609523531674139
